Code du département,Code de la commune,codesPostaux,population,etiquette_politique,communes_voisines,resultats_votes,emploi_actifs,emploi_retraites,pauvrete_ensemble,natalite,mortalite,diplome_bac,diplome_bac5_plus,Agriculteur,"Artisan, commerçant et chef d’entreprise",Cadres,Profession intermédiaire,Employé,Ouvrier,Code sexe_M,zone_metro
01,01004,01500,15554.0,Divers Centre,,"{'LDVC': 50.97, 'LDVG': 21.94, 'LEXG': 4.3}",0.664,0.052000000000000005,0.17,0.15,0.092,0.191,0.085,0.001,0.043,0.161,0.332,0.28,0.182,1,1
01,01033,01200,16162.0,Divers droite,,"{'LDVD': 63.47, 'LDVC': 36.52}",0.6579999999999999,0.05,0.17,0.13699999999999998,0.086,0.17800000000000002,0.077,0.003,0.131,0.172,0.256,0.315,0.12300000000000001,1,1
01,01053,01000,42065.0,Union de la gauche,,"{'LUG': 60.98, 'LUD': 20.61, 'LRN': 8.73, 'LREM': 7.4, 'LEXG': 2.25}",0.594,0.05,0.24,0.115,0.113,0.174,0.08800000000000001,0.006,0.084,0.13699999999999998,0.271,0.318,0.184,1,1
01,01143,01220,10300.0,Divers droite,01170,"{'LDVD': 65.04, 'LDVC': 28.35, 'LREM': 6.59}",0.7509999999999999,0.026000000000000002,0.08,0.094,0.053,0.16399999999999998,0.317,0.017,0.052000000000000005,0.12300000000000001,0.244,0.21600000000000003,0.348,1,1
01,01160,01210,11530.0,Divers droite,,"{'LDVD': 50.4, 'LDIV': 24.89, 'LDVC': 24.69}",0.7090000000000001,0.021,0.23,0.09300000000000001,0.026000000000000002,0.153,0.318,0.005,0.043,0.20199999999999999,0.35600000000000004,0.166,0.228,1,1
01,01173,01170,13455.0,Divers droite,,"{'LDVD': 71.35, 'LREM': 28.64}",0.7509999999999999,0.023,0.1,0.149,0.053,0.191,0.17800000000000002,0.002,0.043,0.20199999999999999,0.294,0.27699999999999997,0.182,1,1
01,01249,01700,10450.0,Divers droite,,"{'LDVD': 50.72, 'LDVG': 37.85, 'LREM': 11.41}",0.7240000000000001,0.047,0.09,0.129,0.08199999999999999,0.162,0.13699999999999998,0.002,0.057,0.309,0.253,0.266,0.114,1,1
01,01283,01100,22378.0,Divers droite,,"{'LDVD': 37.25, 'LUG': 10.67}",0.599,0.05,0.28,0.125,0.083,0.14800000000000002,0.045,0.002,0.067,0.158,0.297,0.263,0.215,1,1
01,01354,01630,14584.0,Divers gauche,01170,"{'LDVG': 46.11, 'LDVD': 39.04, 'LECO': 14.84}",0.72,0.015,0.18,0.113,0.021,0.165,0.282,0.002,0.076,0.132,0.271,0.31,0.21,1,1
02,02168,02400,15068.0,Divers Centre,,"{'LDVC': 69.44, 'LRN': 13.03, 'LDVG': 7.1, 'LEXG': 1.48}",0.557,0.055,0.27,0.132,0.124,0.146,0.065,0.002,0.036000000000000004,0.18899999999999997,0.293,0.244,0.237,1,1
02,02173,02300,11456.0,Divers Centre,,"{'LDVC': 23.82, 'LRN': 23.08}",0.5379999999999999,0.069,0.29,0.11699999999999999,0.128,0.188,0.042,0.002,0.046,0.16399999999999998,0.299,0.297,0.192,1,1
02,02408,02000,24066.0,Divers droite,,"{'LDVD': 61.54, 'LDVG': 25.07, 'LRN': 9.76, 'LEXG': 2.03, 'LDIV': 1.56}",0.503,0.059000000000000004,0.31,0.122,0.109,0.159,0.068,,,,,,,1,1
02,02691,02100,52995.0,Divers droite,,"{'LDVD': 65.66, 'LRN': 15.05, 'LDVG': 9.0, 'LCOM': 8.88, 'LEXG': 1.38}",0.53,0.057,0.29,0.11699999999999999,0.129,0.152,0.066,,,,,,,0,1
02,02722,02200,28667.0,Divers droite,,"{'LDVD': 59.44, 'LDVC': 15.4, 'LRN': 12.42, 'LDVG': 7.45, 'LFI': 5.28}",0.528,0.055999999999999994,0.3,0.121,0.11,0.157,0.068,,,,,,,1,1
02,02738,02700,13261.0,Divers gauche,,"{'LDVG': 29.01, 'LRN': 18.16}",0.544,0.075,0.26,0.11199999999999999,0.111,0.166,0.019,,,,,,,1,1
02,02810,02600,10376.0,Rassemblement National,,"{'LRN': 53.46, 'LDVC': 28.53, 'LDIV': 17.99}",0.622,0.069,0.18,0.11800000000000001,0.10099999999999999,0.168,0.038,,,,,,,1,1
03,03095,03300,13329.0,Divers droite,03200,"{'LDVD': 69.99, 'LDVG': 14.23}",0.593,0.078,0.2,0.079,0.151,0.154,0.052000000000000005,,,,,,,1,1
03,03185,03100,33317.0,Les Républicains,,"{'LLR': 31.45, 'LDVG': 14.43, 'LDVD': 26.0}",0.588,0.063,0.25,0.09699999999999999,0.142,0.174,0.057999999999999996,,,,,,,1,1
03,03190,03000,19344.0,Les Républicains,03400,"{'LLR': 48.14, 'LDVD': 30.82, 'LUG': 21.03}",0.601,0.061,0.24,0.111,0.136,0.154,0.075,,,,,,,1,1
03,03310,03200,25702.0,Les Républicains,03300,"{'LLR': 74.1, 'LUG': 16.36, 'LRN': 9.52}",0.5429999999999999,0.062,0.23,0.091,0.171,0.18600000000000003,0.09300000000000001,,,,,,,1,1
03,03321,03400,12670.0,Parti socialiste,03000,"{'LSOC': 53.7, 'LDVG': 26.52, 'LDVD': 19.77}",0.628,0.09300000000000001,0.11,0.073,0.115,0.183,0.055,,,,,,,1,1
04,04070,04000,17694.0,Divers Centre,,"{'LDVC': 32.49, 'LDVD': 14.97, 'LDVG': 11.93, 'LDLF': 8.16}",0.5579999999999999,0.081,0.18,0.08,0.11599999999999999,0.212,0.075,,,,,,,0,1
04,04112,04100,22807.0,Divers droite,,"{'LDVD': 31.55, 'LDVG': 26.41, 'LDVC': 21.59, 'LEXD': 20.43}",0.628,0.05,0.21,0.12,0.11800000000000001,0.177,0.131,,,,,,,1,1
05,05023,05100,10748.0,Union de la droite,,"{'LUD': 49.0, 'LDIV': 30.71, 'LDVG': 20.27}",0.7190000000000001,0.063,0.15,0.092,0.09699999999999999,0.207,0.106,,,,,,,1,1
05,05061,05000,40656.0,Divers droite,,"{'LDVD': 54.18, 'LDVG': 13.07}",0.66,0.07400000000000001,0.15,0.09300000000000001,0.094,0.192,0.094,,,,,,,1,1
06,06004,"06160,06600",76612.0,Les Républicains,"06270,06220,06410","{'LLR': 52.89, 'LRN': 13.54, 'LREM': 11.8, 'LSOC': 6.0, 'LDVG': 4.26, 'LDIV': 1.38}",0.691,0.053,0.15,0.122,0.12,0.17800000000000002,0.18,,,,,,,1,1
06,06012,06240,12430.0,Divers,06190,"{'LDIV': 70.96, 'LRN': 29.03}",0.6990000000000001,0.049,0.2,0.027999999999999997,0.048,0.175,0.102,,,,,,,1,1
06,06018,06410,10196.0,Les Républicains,"06270,06560","{'LLR': 52.88, 'LDIV': 16.71}",0.6940000000000001,0.043,,0.077,0.07,0.156,0.31,,,,,,,1,1
06,06027,06800,52852.0,Les Républicains,"06270,06700","{'LLR': 47.86, 'LDVD': 34.48, 'LRN': 17.65}",0.703,0.049,0.14,0.10300000000000001,0.11800000000000001,0.184,0.11900000000000001,,,,,,,1,1
06,06029,"06150,06400",74040.0,Les Républicains,"06220,06110,06250","{'LLR': 88.08, 'LDVG': 4.12, 'LDIV': 1.5}",0.621,0.05,0.21,0.105,0.146,0.205,0.114,,,,,,,1,1
06,06030,06110,40198.0,,"06220,06250","{'LLR': 60.36, 'LRN': 14.81, 'LREM': 12.87, 'LSOC': 11.93}",0.68,0.054000000000000006,0.17,0.115,0.13,0.207,0.10300000000000001,,,,,,,1,1
06,06033,06510,13729.0,Divers droite,,"{'LDVD': 50.34, 'LDIV': 49.65}",0.698,0.049,0.13,0.12,0.061,0.20199999999999999,0.078,,,,,,,1,1
06,06069,"06130,06520",48669.0,Les Républicains,06370,"{'LLR': 52.4, 'LDIV': 1.37, 'LECO': 8.77, 'LRN': 8.12, 'LDVG': 4.58, 'LDVC': 3.82}",0.654,0.046,0.15,0.122,0.099,0.184,0.111,,,,,,,1,1
06,06079,06210,21201.0,Les Républicains,,"{'LLR': 81.54, 'LDVD': 18.45}",0.6920000000000001,0.069,0.13,0.096,0.125,0.19699999999999998,0.109,,,,,,,1,1
06,06083,06500,30326.0,,,"{'LUD': 55.69, 'LDVD': 44.3}",0.687,0.061,0.17,0.033,0.098,0.20800000000000002,0.076,,,,,,,1,1
06,06084,06370,10847.0,Divers,06250,"{'LDIV': 8.48, 'LDVD': 14.66}",0.713,0.063,0.09,0.094,0.132,0.171,0.196,,,,,,,1,1
06,06085,06250,19481.0,Les Républicains,"06560,06370,06110","{'LLR': 63.31, 'LDVD': 28.61, 'LDVG': 8.07}",0.7140000000000001,0.044000000000000004,0.11,0.10099999999999999,0.10300000000000001,0.175,0.184,,,,,,,1,1
06,06088,"06000,06100,06200,06300",353701.0,Divers droite,06700,"{'LDVD': 59.3, 'LRN': 21.39, 'LECO': 19.3}",0.626,0.042,0.22,0.128,0.111,0.177,0.158,,,,,,,1,1
06,06104,06190,12419.0,Les Républicains,"06500,06240","{'LLR': 52.11, 'LDIV': 32.98, 'LDVC': 14.9}",0.7040000000000001,0.054000000000000006,0.14,0.027000000000000003,0.095,0.19899999999999998,0.11599999999999999,,,,,,,1,1
06,06123,06700,31645.0,Les Républicains,06800,"{'LLR': 54.57, 'LRN': 13.67, 'LDIV': 12.77, 'LDVG': 9.2, 'LDVD': 6.18, 'LDVC': 3.59}",0.7340000000000001,0.048,0.12,0.126,0.107,0.205,0.109,,,,,,,1,1
06,06149,06340,10485.0,Divers gauche,,"{'LDVG': 59.56, 'LLR': 23.5, 'LRN': 16.93}",0.691,0.07400000000000001,0.14,0.098,0.086,0.184,0.049,,,,,,,1,1
06,06152,06560,12389.0,Écologiste,"06410,06250","{'LECO': 45.46, 'LDVC': 28.91, 'LDVG': 25.61}",0.643,0.034,0.1,0.085,0.057,0.135,0.26899999999999996,,,,,,,1,1
06,06155,06220,28579.0,,"06110,06250","{'LDIV': 23.17, 'LLR': 32.4, 'LRN': 8.97}",0.639,0.065,0.18,0.124,0.133,0.185,0.095,,,,,,,1,1
06,06157,06140,19856.0,Divers,,"{'LDIV': 19.39, 'LDVC': 38.9}",0.703,0.05,0.14,0.08900000000000001,0.124,0.177,0.147,,,,,,,1,1
06,06161,06270,16729.0,Les Républicains,"06800,06410","{'LLR': 88.49, 'LRN': 11.5}",0.7240000000000001,0.054000000000000006,0.1,0.115,0.083,0.196,0.16899999999999998,,,,,,,1,1
07,07010,07100,17222.0,Divers gauche,,"{'LDVG': 10.21, 'LDVD': 41.0, 'LDIV': 6.82}",0.601,0.061,0.23,0.114,0.135,0.16699999999999998,0.065,,,,,,,1,1
07,07019,07200,12488.0,Divers droite,,"{'LDVD': 42.35, 'LDVG': 9.52, 'LDVC': 20.22}",0.603,0.057999999999999996,0.25,0.086,0.156,0.19399999999999998,0.075,,,,,,,1,1
07,07102,07500,11277.0,Divers droite,26000,{'LDVD': 100.0},0.722,0.076,0.08,0.09300000000000001,0.121,0.19,0.107,,,,,,,0,1
