Code de la commune,code_commune,emploi_actifs,emploi_retraites,socio_pro,pauvrete_ensemble,natalite,mortalite,diplome_bac,diplome_bac5_plus
01001,01001,76.8,7.8,{},,10.6,6.8,20.1,6.3
01002,01002,78.9,5.4,{},,9.1,7.2,21.6,13.4
01004,01004,66.4,5.2,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.5, 'Cadres': 13.8, 'Profession intermédiaire': 27.7, 'Employé': 31.3, 'Ouvrier': 21.5}",17.0,15.0,9.2,19.1,8.5
01005,01005,76.2,6.8,{},,12.9,4.9,19.2,6.5
01006,01006,63.9,16.7,{},,7.5,6.0,15.8,5.9
01007,01007,74.2,7.0,"{'Agriculteur': 2.0, 'Artisan, commerçant et chef d’entreprise': 6.9, 'Cadres': 11.7, 'Profession intermédiaire': 27.4, 'Employé': 23.8, 'Ouvrier': 28.2}",,12.2,5.7,19.8,7.2
01008,01008,76.0,7.5,{},,10.4,5.7,18.6,7.4
01009,01009,79.3,7.1,{},,8.4,10.4,23.7,5.9
01011,01011,77.2,3.2,{},,11.5,5.6,19.4,7.9
01012,01012,74.3,8.0,{},,8.1,17.8,18.2,4.7
01013,01013,70.9,7.0,{},,3.5,10.4,21.4,7.7
01014,01014,68.2,5.7,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 6.3, 'Cadres': 10.9, 'Profession intermédiaire': 30.1, 'Employé': 18.8, 'Ouvrier': 33.9}",13.0,8.8,7.2,16.8,4.2
01015,01015,80.3,6.8,{},,8.6,12.1,19.0,9.4
01016,01016,77.9,5.6,{},,9.8,7.6,16.9,2.1
01017,01017,65.0,9.5,{},,9.7,12.4,20.2,3.7
01019,01019,60.0,13.3,{},,6.5,26.1,30.4,0.0
01021,01021,74.9,4.9,{},,11.1,4.7,21.2,11.4
01022,01022,68.7,8.7,{},,4.9,11.9,17.1,4.0
01023,01023,65.3,0.0,{},,17.0,4.9,10.7,7.1
01024,01024,77.3,5.6,"{'Agriculteur': 1.4, 'Artisan, commerçant et chef d’entreprise': 7.5, 'Cadres': 10.1, 'Profession intermédiaire': 23.0, 'Employé': 18.7, 'Ouvrier': 39.4}",7.0,10.6,4.5,18.9,5.6
01025,01025,74.3,7.4,"{'Agriculteur': 7.1, 'Artisan, commerçant et chef d’entreprise': 9.7, 'Cadres': 8.5, 'Profession intermédiaire': 14.5, 'Employé': 23.6, 'Ouvrier': 36.5}",6.0,10.4,5.7,18.8,5.2
01026,01026,76.2,6.4,{},,12.0,15.7,16.1,4.1
01027,01027,71.9,2.8,"{'Agriculteur': 0.6, 'Artisan, commerçant et chef d’entreprise': 3.3, 'Cadres': 6.8, 'Profession intermédiaire': 23.2, 'Employé': 46.5, 'Ouvrier': 19.5}",,10.0,2.6,24.8,6.7
01028,01028,78.2,7.9,{},,11.0,6.3,19.3,4.8
01029,01029,70.8,6.9,{},,5.3,10.0,18.7,3.8
01030,01030,73.6,5.4,{},,12.6,5.0,21.3,7.0
01031,01031,59.7,5.4,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 5.1, 'Cadres': 16.0, 'Profession intermédiaire': 25.5, 'Employé': 15.0, 'Ouvrier': 38.3}",20.0,10.6,5.9,17.2,5.0
01032,01032,74.0,4.7,"{'Agriculteur': 0.0, 'Artisan, commerçant et chef d’entreprise': 3.9, 'Cadres': 12.6, 'Profession intermédiaire': 28.1, 'Employé': 41.8, 'Ouvrier': 13.6}",8.0,13.6,9.3,23.0,10.2
01033,01033,65.8,5.0,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 6.8, 'Cadres': 12.3, 'Profession intermédiaire': 25.2, 'Employé': 29.7, 'Ouvrier': 25.8}",17.0,13.7,8.6,17.8,7.7
